@relation pendigits16
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
46.9770005467,100.0,27.0463047978,81.2819248999,57.824585243,37.1699750742,26.1600206328,0.0,0.0,23.4127342336,56.5462858513,53.3162855079,100.0,90.1007510555,40.243921251,98.2794908532,8
0.0,88.7155628067,27.5891166072,100.0,42.1130277668,75.800387651,29.6084638253,44.9351436401,15.0966269787,15.0846232319,37.6990591504,0.0,68.9886128026,1.90724064072,100.0,5.74175991484,2
0.0,56.8409504296,32.1768429423,68.232590058,72.9608609767,90.3011692648,100.0,100.0,75.8612591435,75.2239312508,50.4584696406,50.5996707227,28.5181283121,25.5832565431,16.2747882931,0.0,1
0.0,100.0,7.07173096138,91.8845937356,4.71448730759,68.6851162444,18.9418699205,45.742630007,86.3797117717,34.5192751578,100.0,45.6064909527,75.3982793325,23.1129927102,66.0028223062,0.0,4
0.0,100.0,2.88889021151,71.779430849,26.5378771434,34.7803057412,85.1249508707,35.6813692632,100.0,70.8803727057,73.8420762399,96.9496244599,65.2417935173,48.8468307055,65.5708677553,0.0,4
73.0015844872,86.9525722962,30.432101107,100.0,0.0,69.0524341209,61.8451941897,64.3049621279,99.174603611,79.5898823452,100.0,37.5276394206,83.6703897898,0.0,17.7474330036,0.832229647111,9
91.037207089,73.2598382909,54.7004795331,100.0,0.0,86.4201938535,22.9629126438,58.6421331652,81.4008867162,67.0121525563,100.0,39.0500846115,79.8831837075,4.41582915573,20.3985562205,0.0,9
0.0,85.3585726071,38.8069828613,100.0,81.1693684157,88.0078811076,87.2222222222,50.5032722437,83.9280350197,12.3663688548,58.426588948,0.0,53.6084542676,22.2440739377,100.0,24.0475953995,7
0.0,72.4283593626,19.6237851215,99.3299121394,71.8449967279,100.0,69.9041307898,72.6393502807,32.1933995697,47.9178249474,5.33068855246,18.7635166014,46.5242767303,0.59299132118,100.0,0.0,2
35.3790801596,92.3687792882,6.03270627452,83.6608046302,0.0,37.8305303116,26.0484994048,0.0,76.3860791261,6.43332919272,100.0,46.3088068634,83.5089939791,89.3697826214,35.3790801596,100.0,0
60.8414576076,58.8685012092,57.8335170493,100.0,0.0,83.8237742133,43.6002783547,41.9084049178,80.4239372834,0.0,7.69579108653,4.43437828028,33.5917759566,43.8524096598,100.0,70.2019613574,8
100.0,83.6595921107,35.0928388469,100.0,2.6275311785,87.558923754,12.0671276668,70.081484155,15.3846153846,52.5531078792,15.3846153846,35.0128166564,1.0322579713,17.5357443574,0.0,0.0,1
